Participant,Session,Block,Gain,Dwell,Trial,A,W,TRE,TAC,MDC,ODC,MV,MO,ME
P01,S01,B01,TG100,DW500,0,500.0,100.0,0,0,1,0,19.499895,-13.141632,20.549113
P01,S01,B01,TG100,DW500,1,500.0,100.0,0,0,3,0,21.575588,-29.512875,33.509655
P01,S01,B01,TG100,DW500,2,500.0,100.0,0,1,2,0,12.111900,5.236821,11.352992
P01,S01,B01,TG100,DW500,3,500.0,100.0,0,0,3,0,12.949974,18.444072,20.813223
P01,S01,B01,TG100,DW500,4,500.0,100.0,1,1,4,2,24.330273,15.405591,25.339182
P01,S01,B01,TG100,DW500,5,500.0,100.0,0,0,1,0,4.879407,-8.861789,8.861789
P01,S01,B01,TG100,DW500,6,500.0,100.0,0,0,1,0,12.438920,15.041522,15.402025
P01,S01,B01,TG100,DW500,7,500.0,100.0,0,0,3,0,6.590100,4.009156,6.158166
P01,S01,B01,TG100,DW500,8,500.0,100.0,0,1,8,0,9.219112,3.910195,7.804559
P01,S01,B01,TG100,DW500,9,500.0,100.0,0,1,1,0,13.063949,-16.498597,19.253252
P01,S01,B01,TG100,DW500,10,500.0,100.0,0,0,1,0,14.857337,-20.755164,20.755164
P01,S01,B01,TG100,DW500,11,500.0,100.0,0,1,1,0,20.465726,-5.666667,17.566667
P01,S01,B01,TG100,DW500,0,125.0,100.0,0,0,1,2,18.616809,10.475389,16.451596
P01,S01,B01,TG100,DW500,1,125.0,100.0,0,0,0,0,2.653365,1.695498,2.573212
P01,S01,B01,TG100,DW500,2,125.0,100.0,0,0,0,0,6.347166,-5.762760,7.534103
P01,S01,B01,TG100,DW500,3,125.0,100.0,0,0,0,0,5.611250,-2.206018,5.271365
P01,S01,B01,TG100,DW500,4,125.0,100.0,0,0,0,0,7.781008,-1.768253,6.391284
P01,S01,B01,TG100,DW500,5,125.0,100.0,0,0,1,0,2.275069,-10.283582,10.283582
P01,S01,B01,TG100,DW500,6,125.0,100.0,0,0,0,0,10.616527,-13.443656,14.338016
P01,S01,B01,TG100,DW500,7,125.0,100.0,0,0,1,0,17.456561,33.353167,33.586578
P01,S01,B01,TG100,DW500,8,125.0,100.0,0,0,0,0,5.599992,-1.931580,5.247911
P01,S01,B01,TG100,DW500,9,125.0,100.0,0,0,0,0,13.011961,12.954941,17.586463
P01,S01,B01,TG100,DW500,10,125.0,100.0,0,0,0,0,8.225389,-18.328811,18.489284
P01,S01,B01,TG100,DW500,11,125.0,100.0,0,0,1,0,3.279221,-3.588235,4.352941
P01,S01,B01,TG100,DW500,0,250.0,40.0,2,2,5,5,9.533671,6.595294,9.349321
P01,S01,B01,TG100,DW500,1,250.0,40.0,0,1,2,0,10.293963,-4.824413,7.813568
P01,S01,B01,TG100,DW500,2,250.0,40.0,1,3,10,2,6.743658,2.149189,5.654775
P01,S01,B01,TG100,DW500,3,250.0,40.0,1,3,8,1,3.325822,0.487085,2.828692
P01,S01,B01,TG100,DW500,4,250.0,40.0,1,1,2,3,4.960952,1.624119,4.500224
P01,S01,B01,TG100,DW500,5,250.0,40.0,0,0,3,0,4.037875,-9.666667,9.666667
P01,S01,B01,TG100,DW500,6,250.0,40.0,1,0,9,0,2.197388,1.862723,2.253803
P01,S01,B01,TG100,DW500,7,250.0,40.0,0,1,0,0,7.465616,-0.245233,6.727719
P01,S01,B01,TG100,DW500,8,250.0,40.0,0,1,7,0,5.723751,2.166807,5.387244
P01,S01,B01,TG100,DW500,9,250.0,40.0,0,0,6,0,3.074706,-1.079867,2.688953
P01,S01,B01,TG100,DW500,10,250.0,40.0,0,1,1,0,13.057013,-4.166584,11.094503
P01,S01,B01,TG100,DW500,11,250.0,40.0,0,0,1,0,10.294131,0.396624,8.421941
P01,S01,B01,TG100,DW500,0,500.0,60.0,1,2,7,2,16.310486,-10.146976,16.516337
P01,S01,B01,TG100,DW500,1,500.0,60.0,1,1,2,2,15.558034,2.385263,13.608506
P01,S01,B01,TG100,DW500,2,500.0,60.0,0,2,6,0,8.712440,3.935203,8.372554
P01,S01,B01,TG100,DW500,3,500.0,60.0,0,0,2,0,10.841223,-7.169032,9.279090
P01,S01,B01,TG100,DW500,4,500.0,60.0,0,0,3,0,7.157605,7.863358,8.306223
P01,S01,B01,TG100,DW500,5,500.0,60.0,1,0,4,1,7.779870,-8.456250,8.456250
P01,S01,B01,TG100,DW500,6,500.0,60.0,0,0,7,0,3.833988,-3.179342,4.604279
P01,S01,B01,TG100,DW500,7,500.0,60.0,0,1,3,0,8.786480,-4.948245,7.820914
P01,S01,B01,TG100,DW500,8,500.0,60.0,0,1,2,0,24.861454,-9.275438,21.338964
P01,S01,B01,TG100,DW500,9,500.0,60.0,1,3,7,1,10.717318,7.151026,10.800059
P01,S01,B01,TG100,DW500,10,500.0,60.0,0,0,3,0,25.162957,-21.103767,23.542154
P01,S01,B01,TG100,DW500,11,500.0,60.0,0,0,6,0,29.328471,-27.319527,30.443787
P01,S01,B01,TG100,DW500,0,500.0,40.0,0,0,5,0,13.287297,-9.517751,12.740639
P01,S01,B01,TG100,DW500,1,500.0,40.0,1,0,5,3,25.350800,16.929609,17.755391
