App,Participant,Condition,Block,Trial,A,W,Ae,dx,PT(ms),ST(ms),MT(ms),Errors,TRE,TAC,MDC,ODC,MV,ME,MO
FittsTaskTwo,P99,C01,B01,0,300.0,30.0,288.12103541250855,-9.472647316140835,608,94,702,0,0,1,1,1,9.76342776780611,13.728944181079514,13.000849187255975
FittsTaskTwo,P99,C01,B01,1,300.0,30.0,295.0,-3.0,655,109,764,0,0,0,2,1,17.127265407501064,27.74999999999996,27.74999999999996
FittsTaskTwo,P99,C01,B01,2,300.0,30.0,294.45853553249486,-3.1351471961544677,687,109,796,0,0,1,1,1,15.832487343408424,20.019773302609043,-18.26212673117301
FittsTaskTwo,P99,C01,B01,3,300.0,30.0,295.98992196790596,-1.0168119624883092,593,93,686,0,0,1,2,1,9.024252718018369,9.538968674354882,8.015260042738506
FittsTaskTwo,P99,C01,B01,4,300.0,30.0,290.2414100584968,-6.563239500771394,531,78,609,0,0,0,1,0,3.8421104887429998,4.461688864936552,-4.118417236490279
FittsTaskTwo,P99,C01,B01,5,300.0,30.0,299.84813217037447,2.214128736627026,561,78,639,0,0,1,1,1,6.845395652758814,7.15831960546847,4.6699944781400955
FittsTaskTwo,P99,C01,B01,6,300.0,30.0,301.9355819501667,3.477879754361398,593,78,671,0,1,1,2,2,6.390471704572827,6.163910842749027,2.4253576347371717
FittsTaskTwo,P99,C01,B01,7,300.0,30.0,288.8579614625602,-9.323191530045946,624,78,702,0,0,0,0,1,3.0153945701849674,5.781525799614352,-5.781525799614352
FittsTaskTwo,P99,C01,B01,8,300.0,30.0,296.9470038979814,-1.2341490946247626,593,109,702,0,0,0,2,0,9.10049595718546,13.812947337695917,13.383678087391646
FittsTaskTwo,P99,C01,B01,9,300.0,30.0,292.58752365087173,-5.870178544933558,655,78,733,0,0,1,1,1,8.897464449291032,9.958063015947097,-7.127450250376935
FittsTaskTwo,P99,C01,B01,10,300.0,30.0,297.9464677319361,0.3124642981886116,671,78,749,0,0,0,0,0,2.3599643845966405,2.1911056312783637,-1.0106482297661668
